;;;;;;Temperatur;Wasserstand;Luftfeuchtigkeit;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;68;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;68;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;68;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;66;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;66;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;66;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;66;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;67;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;67;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;67;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;68;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;68;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;67;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;67;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,5;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,5;;;;;;
sensor;66;2;;;;23,8;66;59,5;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;68;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;68;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;68;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;68;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;68;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
Luftfeuchtigkeit;59,5;3;;;;23,8;66;59,6;;;;;;
Temperatur;23,8;1;;;;23,8;66;59,6;;;;;;
sensor;66;2;;;;23,8;66;59,6;;;;;;
